title,company,site,it_role_type,city,final_tech_stack
Lập Trình Viên Fullstack Developer,CÔNG TY CỔ PHẦN MIA RETAIL,TopCV,Full-stack Developer,Hồ Chí Minh,"Sql, Javascript, React, Python, Php, Css"
Fullstack Developer,XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,TopCV,Fullstack Developer,Hà Nội,"Php, Html, Javascript, Css"
Mobile Developer,CÔNG TY CỔ PHẦN TẬP ĐOÀN APEC GROUP,TopCV,Mobile Developer,Hà Nội,"React, Agile, Javascript"
Senior Android Kotlin,CÔNG TY CỔ PHẦN PAYTECH,TopCV,Mobile Developer,Hà Nội,"Agile, Kotlin"
Technical Artist,CÔNG TY TNHH MARKETING METAS GROUP,TopCV,Technical Artist,Hà Nội,Shaderlab
Junior IOS Developer,CÔNG TY CỔ PHẦN CQ TDT ASIA,TopCV,Mobile Developer,Hà Nội,Swift
Embedded Software/Android Driver Developer,Cty TNHH Thundersoft Việt Nam,TopCV,Embedded Engineer,Thái Nguyên,Python
Unity Developer,Công Ty Cổ Phần Bliss,TopCV,Unity Developer,Hồ Chí Minh,"Java, C#, Javascript, Swift"
Senior Back-End Developer,Công ty CP Phần mềm MOR,TopCV,Backend Developer,Hồ Chí Minh,"Aws, Agile, Python"
Lập Trình Viên Developer [Junior Level],CÔNG TY TNHH IDENTALSOFT VIỆT NAM,TopCV,Software Engineer,Hồ Chí Minh,"Java, C#"
Junior Mid Fullstack Developer,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VEXERE,TopCV,Full-stack Developer,Hồ Chí Minh,"Docker, React, Typescript, Javascript"
Kỹ Sư Lập Trình Nhúng - Điện Tử Công Suất,CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG MINH OXII,TopCV,Embedded Engineer,Hà Nội,"C++, C"
Frontend Developer,Công ty Cổ phần Công nghệ MicroTech,TopCV,Frontend Developer,Hà Nội,"React, Javascript, Css"
Senior Backend Developer,CÔNG TY TNHH NEXDOR VIỆT NAM,TopCV,Backend Developer,Hồ Chí Minh,"Golang, Aws, Docker, Nodejs"
Middle Frontend,Công ty cổ phần Synodus,TopCV,Frontend Developer,Hà Nội,"Typescript, Javascript, Css"
Fullstack Developer,"TECHVIFY SOFTWARE., JSC",TopCV,Full-stack Developer,Hà Nội,"Sql, Docker, Javascript, Aws, Python, Agile"
Fullstack Developer,CÔNG TY TNHH TƯ VẤN CHIẾN LƯỢC CHÍNH SÁCH VÀ PHÂN TÍCH DỮ LIỆU KINH TẾ VIETSTATS,TopCV,Fullstack Developer,Hồ Chí Minh,"Aws, Docker, React, Javascript"
Senior BackEnd,CÔNG TY CỔ PHẦN CHỨNG KHOÁN LPBANK,TopCV,Backend Developer,Hà Nội,"Java, Agile, Sql, Docker"
Full-Stack Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG AWING VIỆT NAM,TopCV,Full-stack Developer,Hà Nội,"C#, Typescript, Sql"
Bridge Software Engineer,CÔNG TY TNHH CÔNG NGHỆ GIẢI PHÁP CITYNOW,TopCV,Bridge Software Engineer,Hồ Chí Minh,"Sql, Docker, Javascript, Agile, Aws, Go, React, Python, Html/Css, Java, Html, Css"
Nhân Viên Mobile App Developer,Công Ty Cổ Phần Công Nghệ ECRM,TopCV,Mobile Developer,Nghệ An,"React, Javascript"
Nhân Viên Vận Hành Máy CNC,CÔNG TY TRÁCH NHIỆM HỮU HẠN MTV YOKOHAMA TECHNICA ĐÀ NẴNG,TopCV,Other IT Role,Đà Nẵng,Not Specified
Lập Trình Ứng Dụng,Công ty TNHH Dược Phẩm Và Trang Thiết Bị Y Tế Hoàng Đức,TopCV,Software Engineer,Hồ Chí Minh,"Html5, Sql, Html, Javascript, C#, Css"
Kỹ Sư Lập Trình Thiết Bị Đo Lường & JIG TEST,Công ty Cổ Phần Công Nghệ TM,TopCV,Embedded Engineer,Hà Nội,"C++, C#, Python"
Frontend Developer,CÔNG TY TNHH HORUS PRODUCTIONS,TopCV,Frontend Developer,Hà Nội,"Html, Javascript, Css"
Kỹ Thuật Viên Lập Trình & Vận Hành Máy CNC,CÔNG TY TNHH MATEC VIỆT NAM,TopCV,Other IT Role,Hà Nội,G-Code
Nhân Viên Lập Trình Máy Phay CNC _ Thu Nhập Up To 20M++ _ Đi Làm Ngay Tại Hoàng Mai - HN,Công ty TNHH Auto Korea,TopCV,Other IT Role,Hà Nội,
AI Engineer,CÔNG TY CỔ PHẦN EVERSTAR GLOBAL,TopCV,AI Engineer,Hà Nội,"Agile, Python"
Middle Frontend Developer,Công Ty Cổ Phần Vàng Bạc Đá quý Phú Nhuận - PNJ,TopCV,Frontend Developer,Hồ Chí Minh,"Typescript, Javascript, Aws, React, Html/Css, Agile"
Senior Fullstack Developer,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VEXERE,TopCV,Fullstack Developer,Hồ Chí Minh,"Docker, React, Javascript"
Lập Trình Viên Senior Fullstack,CÔNG TY TNHH GROOO INTERNATIONAL,TopCV,Full-stack Developer,Hồ Chí Minh,"Java, Javascript, Docker"
Bridge Software Engineer - Remote,CÔNG TY TNHH CÔNG NGHỆ GIẢI PHÁP CITYNOW,TopCV,Bridge Software Engineer,Đà Nẵng,"Sql, Docker, Javascript, Agile, Aws, Golang, Python, Html/Css, React, Java, Html, Css"
Lập Trình Viên Backend,CÔNG TY CỔ PHẦN CÔNG NGHỆ FOXAI,TopCV,Backend Developer,Hà Nội,"Docker, C#, Sql, Agile"
IT Project Manager,Beetechsoft,TopCV,IT Project Manager,Hà Nội,"C, Docker, C++, Aws, Java, Php, Swift"
Mobile Developer,CÔNG TY TNHH DAOUKIWOOM INNOVATION,TopCV,Mobile Developer,Hồ Chí Minh,"Javascript, Agile, React, Html, Css"
Game Developer,CÔNG TY TNHH CÔNG NGHỆ HAY HAY GLOBAL,TopCV,Game Developer,Hà Nội,"React, Typescript, Javascript"
Special Projects Engineer,FPT Software,TopCV,Special Projects Engineer,Đà Nẵng,"Sql, Javascript, Aws, React, Python, Java"
Front-End Developer,Công ty CP Công nghệ phần mềm và nội dung số OSP,TopCV,Frontend Developer,Hà Nội,"Javascript, React, Html/Css, Html, Css"
Backend Developer,CÔNG TY TNHH MIWA TECH,TopCV,Backend Developer,Hồ Chí Minh,"Java, React, Sql, Docker"
Java Developer,Công ty cổ phần phần mềm ITSOL Holdings,TopCV,Backend Developer,Hà Nội,Java
Senior Software Engineer,Công ty TNHH MBC Playbe Việt Nam,TopCV,Software Engineer,Hà Nội,"Javascript, Sql"
Senior Backend Developer,CÔNG TY CỔ PHẦN TẬP ĐOÀN APEC GROUP,TopCV,Backend Developer,Hà Nội,"Docker, Node.Js, Agile, Python, Java, C#"
Thực Tập Sinh Lập Trình,CÔNG TY TNHH LAZTAR,TopCV,Not Specified,Hồ Chí Minh,"Sql, Javascript, React, Html/Css, Html, Css"
Senior Full Stack Developer - Odoo,Công ty Cổ phần Tập đoàn Karofi,TopCV,Full-stack Developer,Hà Nội,"Docker, Javascript, Agile, Aws, Html, Css"
Java Developer Lead,CÔNG TY CỔ PHẦN GLOBAL TECHNOLOGY SOLUTIONS VIỆT NAM,TopCV,Java Developer Lead,Hà Nội,"Java, Aws, Sql, Docker"
Lập Trình Viên .NET,Công ty Cổ phần Tập đoàn Công nghệ Thiên Hoàng,TopCV,Backend Developer,Hà Nội,"C#, Sql, Agile, Css"
Flutter Developer Leader,Công ty Cổ phần viễn thông FPT,TopCV,Mobile Developer,Hồ Chí Minh,"Flutter, Agile, Swift"
SQL Developer,Công ty TNHH Giải pháp Phân tích dữ liệu Insight Data,TopCV,Database Engineer,Hà Nội,"Pl/Sql, Sql"
Backend Developer,CÔNG TY CỔ PHẦN PHẦN MỀM NOBI VIỆT NAM,TopCV,Backend Developer,Hà Nội,"C#, Javascript, Sql"
PHP Developer,CÔNG TY CỔ PHẦN QUỐC TẾ TDA VIỆT NAM,TopCV,PHP Developer,Đà Nẵng,"Javascript, Agile, Aws, Php, Html, Css"
.NET Developer,Công ty Cổ phần Công nghệ KiotViet,TopCV,.NET Developer,Hà Nội,"C#, Sql"
Unity Developer,SonatGame Studio,TopCV,Game Developer,Hà Nội,"Xcode, C#"
Lập Trình Viên BackEnd PHP/Laravel,Công ty TNHH Công Nghệ CFOX,TopCV,Backend Developer,Hồ Chí Minh,"Php, Html, Javascript, Css"
.NET Developer,Công ty Cổ phần Công nghệ KiotViet,TopCV,.NET Developer,Hà Nội,"Sql, Html, React, C#, Css"
Middle IOS Developer,Công ty Cổ phần Vulcan Labs,TopCV,Mobile Developer,Hồ Chí Minh,Swift
Senior Java Developer,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,TopCV,Backend Developer,Hà Nội,"Java, Sql"
Junior AI Agent Developer,Công ty TNHH BITCOVER,TopCV,Junior AI Agent Developer,Hồ Chí Minh,"Aws, Python"
Java BackEnd Developer,Công ty TNHH Dịch vụ công nghệ TP,TopCV,Backend Developer,Hà Nội,"Java, Php, Agile, Python"
Android Developer,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM LUTECH,TopCV,Mobile Developer,Not Specified,Kotlin
Intern/Fresher .NET,Splus Software,TopCV,Intern Developer,Hồ Chí Minh,"Sql, Javascript, Html/Css, Vb.Net, Html, Css"
Kỹ Sư ME,CÔNG TY TNHH KIM LOẠI CHÍNH XÁC VÀ LINH KIỆN ĐIỆN TỬ KINETIC,TopCV,Other IT Role,Bắc Ninh,
Lập Trình Viên .Net - Senior,Công ty Cổ phần Công nghệ KiotViet,TopCV,Software Engineer,Hà Nội,C#
Kỹ Sư Lập Trình Đứng Máy Phay CNC,CÔNG TY CỔ PHẦN DHNTECH VIỆT NAM,TopCV,Other IT Role,Hà Nội,Not Specified
Unity Developer Intern,Công ty Cổ phần Falcon Technology,TopCV,Game Developer,Hà Nội,C#
Kỹ Sư Lập Trình Nhúng Vi Điều Khiển,Công ty TNHH một thành viên Tổng Công ty Sản xuất thiết bị Viettel,TopCV,Embedded Engineer,Hà Nội,"C++, Python, C"
.NET Dev,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,TopCV,.NET Developer,Hà Nội,"Sql, Html, Javascript, Agile, Html/Css, C#, Css"
Lập Trình Viên Fullstack,CÔNG TY TNHH GROOO INTERNATIONAL,TopCV,Full-stack Developer,Hà Nội,"Java, Php, Javascript"
"Nhân Viên Lập Trình Phay, Tiện",CÔNG TY TNHH THIẾT BỊ KHOA HỌC LABONE,TopCV,Not Specified,Hồ Chí Minh,
Mid-Level ReactJS Developer,Mona Media,TopCV,Frontend Developer,Hồ Chí Minh,"Javascript, React, Html/Css, Html, Css"
Lập Trình Viên Fresher,CÔNG TY TNHH KỸ SƯ CÔNG NGHỆ CAO VN,TopCV,Software Engineer,Hà Nội,"Java, Python"
Fullstack Developer,Unit Corp,TopCV,Fullstack Developer,Hồ Chí Minh,"Sql, Javascript, React, Html/Css, Java, Agile"
Nhân Viên Lập Trình .Net,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,TopCV,Software Engineer,Hà Nội,"Typescript, Sql, Docker, Javascript, React, Html/Css, C#"
Lead Software Engineer,CÔNG TY TNHH METADATA SOLUTIONS,TopCV,Lead Software Engineer,Hồ Chí Minh,"Java, Aws, .Net, Docker"
Lập Trình Viên,CÔNG TY TNHH THƯƠNG MẠI SEN ĐEN,TopCV,Software Engineer,Hồ Chí Minh,"Html, Javascript, Aws, React, Python, Java, C#, Ruby, Css"
Flutter Developer,Công ty Cổ phần Công nghệ KiotViet,TopCV,Mobile Developer,Hà Nội,"Agile, Dart"
Chuyên Viên Phát Triển Phần Mềm,CÔNG TY TNHH CÔNG NGHỆ SỐ VÀ CHUYỂN ĐỔI SỐ Y TẾ,TopCV,Software Engineer,Hà Nội,
Unity Developer,Công ty TNHH Optimizer Việt Nam,TopCV,Unity Developer,Hồ Chí Minh,"C++, C#, C"
Kỹ Sư IT Fullstack Từ 2 Năm Kinh Nghiệm,Công ty Cổ phần Tự động hóa và Robotics Aubot,TopCV,Full-stack Developer,Hà Nội,"Docker, Javascript, Aws, React, Java, Html, Css"
Nhân Viên Lập Trình Back-End,Công ty cổ phần Viễn thông VTC,TopCV,Backend Developer,Hồ Chí Minh,"Node.Js, Sql"
Mobile Developer,CÔNG TY CỔ PHẦN ĐẦU TƯ AHV HOLDING,TopCV,Mobile Developer,Thái Nguyên,"Java, Agile, Kotlin"
Lập Trình Viên C# WPF,Công ty TNHH AEGONA,TopCV,Backend Developer,Hồ Chí Minh,"C#, Agile"
ReactJS Developer,FPT Software,TopCV,Frontend Developer,Nha Trang,"React, Agile, Javascript"
Fullstack Developer,CÔNG TY TNHH MUMESOFT INNOVATION,TopCV,Fullstack Developer,Hà Nội,"Typescript, Javascript, Aws, React, Html/Css, Php, Html, Css"
Backend Developer,ORBRO Inc.,TopCV,Backend Developer,Hà Nội,"C, Node.Js, C++, Aws, Python"
"Nhân Viên Lập Trình Máy, Khuôn Ép Nhựa",Công ty TNHH CN Vĩnh Hàn,TopCV,Other IT Role,Not Specified,Not Specified
Senior Backend Developer,Công ty TNHH Equix Technologies,TopCV,Backend Developer,Hà Nội,"Java, Aws, Docker"
Chuyên Viên Lập Trình,Công ty TNHH FT Industries Việt Nam,TopCV,Software Engineer,Đồng Nai,"Sql, Html, Javascript, C++, Python, Java, Php, C#, Ruby, Css"
Kỹ Sư Lập Trình Embedded/IoT,Công ty cổ phần phần mềm nhúng NATA,TopCV,Embedded Engineer,Not Specified,"C, C++, Aws, Python, C#"
Lập Trình Viên Frontend,CTCP Truyền thông và Dịch vụ số Kiến Lửa,TopCV,Frontend Developer,Hà Nội,"React, Html, Javascript, Css"
Backend Engineer,Công ty Cổ phần VinBigData,TopCV,Backend Developer,Hà Nội,"Docker, Aws, Go, Python"
Frontend Developer,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ PHÁT TRIỂN CÔNG NGHỆ BEAE VIỆT NAM,TopCV,Frontend Developer,Hà Nội,"Html, Javascript, Css"
Senior Developer - Team Lead,CÔNG TY TRÁCH NHIỆM HỮU HẠN GIẢI PHÁP CÔNG NGHỆ CỘNG,TopCV,Senior Developer,Hà Nội,"Java, .Net Framework, Sql, Docker"
Lập Trình Viên Flutter,Công ty Cổ phần Công nghệ KiotViet,TopCV,Mobile Developer,Hà Nội,"Java, Dart, Swift, Kotlin"
Fullstack Developer,Công ty cổ phần Công nghệ Sapo,TopCV,Fullstack Developer,Hà Nội,"Java, Aws, Javascript"
Senior Java Developer,Công ty Cổ phần GEM,TopCV,Software Engineer,Hà Nội,"Sql, Docker, Aws, Java, Agile"
Lập Trình Viên Java,Công ty Cổ phần Tập đoàn Công nghệ Thiên Hoàng,TopCV,Backend Developer,Hà Nội,"Sql, Docker, Javascript, React, Java, Html, Css"
Game Server Developer - Middle - Senior,CÔNG TY TNHH THANKSLAB VIỆT NAM,TopCV,Game Developer,Hồ Chí Minh,"C++, Php, Node.Js"
Full Stack Engineer,Công ty cổ phần nghiên cứu phát triển và cung cấp dịch vụ AI Việt Nam,TopCV,Full-stack Developer,Hà Nội,"Sql, Docker, Javascript, Aws, Agile"
Thực Tập Sinh Lập Trình,"Protean Studios Co., Ltd.",TopCV,Other IT Role,Hà Nội,"Php, Javascript, Nodejs"
Frontend Developer,CÔNG TY TNHH DIGITECH SOLUTIONS,TopCV,Frontend Developer,Hồ Chí Minh,"C#, Javascript, Agile, Html/Css"
Backend Developer,Công ty TNHH Giải pháp Phân tích dữ liệu Insight Data,TopCV,Backend Developer,Hà Nội,"Sql, Docker, Node.Js, Go, Python, Java"
Frontend Developer,Công Ty TNHH Townsoft Vina,TopCV,Frontend Developer,Hà Nội,"Typescript, React, Html, Css"
Kỹ Thuật Viên Lập Trình Và Vận Hành Máy CNC,CÔNG TY CP TẬP ĐOÀN KỸ THUẬT VÀ CÔNG NGHIỆP VIỆT NAM,TopCV,Other IT Role,Hà Nội,Not Specified
Java Developer,Công ty TNHH NTT DATA VIỆT NAM,TopCV,Java Developer,Hà Nội,"Sql, Javascript, Html/Css, Java, Html, Css"
Lập Trình Viên .NET,Công ty cổ phần phát triển phần mềm giải pháp phân phối dược và nhà thuốc,TopCV,Backend Developer,Hà Nội,"Sql, Html, Javascript, C++, C#, Css"
Senior Software Engineer,SHBFinance,TopCV,Senior Software Engineer,Hà Nội,"Sql, Docker, Javascript, Aws, Html/Css, Java, Php, Html, Css"
Middle Ruby On Rails,Công ty CP Phần mềm MOR,TopCV,Backend Developer,Hồ Chí Minh,"Sql, Javascript, Agile, Html, Ruby, Css"
Nhân Viên IT Phần Mềm,Công ty TNHH Y-TEC Việt Nam,TopCV,Software Engineer,Hải Phòng,"Typescript, Javascript, Sql"
Fullstack Developer,VNDIRECT,TopCV,Fullstack Developer,Hà Nội,"Sql, Javascript, React, Java, Agile, Css"
Kỹ Sư Giải Pháp Phần Mềm Tích Hợp,AMIGO,TopCV,Solution Architect,Hà Nội,"Java, Docker"
Lập Trình Viên Java,TNHH Pirago Việt Nam,TopCV,Backend Developer,Hà Nội,"Java, Aws"
Database Developer,CÔNG TY TNHH NEO TALENT,TopCV,Database Developer,Hà Nội,"Sql, Python"
Middle Mobile Developer,Công ty Cổ phần Công nghệ eUp,TopCV,Mobile Developer,Hà Nội,"Dart, Swift"
Flutter Developer,Công ty Cổ phần Công nghệ KiotViet,TopCV,Flutter Developer,Hà Nội,"Java, Dart, Swift, Kotlin"
Chuyên Viên Lập Trình,CÔNG TY TNHH DỊCH VỤ XỬ LÝ ĐIỆN TOÁN,TopCV,Frontend Developer,Hà Nội,"React, Agile, Javascript"
Lập Trình Viên .NET,CHI NHÁNH GIẢI PHÁP CÔNG NGHỆ TRE - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI TNG,TopCV,Backend Developer,Thái Nguyên,"C#, Sql"
Python Developer,iPOS.vn,TopCV,Backend Developer,Hà Nội,Python
Lập Trình Viên,Công ty TNHH công nghệ Jinye Việt Nam,TopCV,Software Engineer,Bắc Giang,"Javascript, C/C++, Python, Html/Css, Php, Html, Css"
C#.NET Leader,CÔNG TY TNHH SHINNICHIRO VIỆT NAM,TopCV,Not Specified,Hồ Chí Minh,C#
Lập Trình Viên Fullstack,Công ty Cổ Phần Chăn Nuôi C.P. Việt Nam,TopCV,Full-stack Developer,Đồng Nai,"Docker, Javascript, Sql"
Tech Lead,Công ty Cổ phần JVB Việt Nam,TopCV,Tech Lead,Hà Nội,"Java, Agile"
Lập Trình Viên Client. Thu Nhập Upto 40M,CÔNG TY TNHH MARKETING METAS GROUP,TopCV,Game Developer,Hà Nội,"C#, Javascript"
Kỹ Sư Phần Mềm / Software Engineer,CÔNG TY TNHH TRUNG TÂM IT OUTSOURCING VIỆT NAM HÀN QUỐC,TopCV,Software Engineer,Hà Nội,"C++, C#"
"Kỹ Sư Lập Trình Nhúng Linux, Android",Công ty TNHH một thành viên Tổng Công ty Sản xuất thiết bị Viettel,TopCV,Embedded Engineer,Hà Nội,"C, Kotlin, C++, Python, Java"
Developer,CÔNG TY CỔ PHẦN ANVY,TopCV,Developer,Hà Nội,"React, Javascript, Python"
Nhân Viên Lập Trình CNC,CÔNG TY TNHH PARAMAX CORPORATION,TopCV,Other IT Role,Bình Dương,Not Specified
Software Engineer,CÔNG TY CỔ PHẦN NGUYÊN LIỆU Á CHÂU AIG,TopCV,Software Engineer,Bình Dương,"Sql, Html, Javascript, React, Python, Java, Php, C#, Css"
Fulltime IOS,CÔNG TY TNHH AI POWER,TopCV,Mobile Developer,Hồ Chí Minh,"Objective-C, Swift"
Junior IOS Developer,Apero Technologies Group,TopCV,Mobile Developer,Hà Nội,"Objective-C, Agile, Swift"
Nhân Viên Phát Triển Kinh Doanh,Công ty Cổ phần FHB Việt Nam,TopCV,Other IT Role,Hồ Chí Minh,
Chuyên Viên Lập Trình,CÔNG TY CỔ PHẦN ĐẦU TƯ QUỐC TẾ - MEGA GANGNAM,TopCV,Middle Developer,Hà Nội,"Php, Javascript, Python, React"
Fresher Fullstack Developer,Công Ty SmartOSC,TopCV,Full-stack Developer,Hà Nội,"Javascript, React, Python, Html, Css"
Senior Fullstack Developer,Phòng Khám Chuyên Khoa Da Liễu GSV - Công Ty Cổ Phần Bệnh Viện Đa Khoa Quốc Tế GSV,TopCV,Full-stack Developer,Hà Nội,"Sql, Html, Html/Css, C#, Css"
PHP Backend Developer,Lampart,TopCV,Backend Developer,Hồ Chí Minh,"Docker, Php, Javascript"
Fresher Fullstack Developer,FPT Software,TopCV,Full-stack Developer,Hà Nội,"Typescript, Sql, Html, Javascript, Aws, Html/Css, C#, Css"
Fullstack NodeJS Developer,CÔNG TY CỔ PHẦN THE 20,TopCV,Fullstack Developer,Hồ Chí Minh,"Javascript, Html, Node.Js, Css"
Chuyên Viên Phát Triển Phần Mềm,CÔNG TY CỔ PHẦN EMPIRE PROPERTY,TopCV,Software Engineer,Hà Nội,Not Specified
Lập Trình Viên IOS,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),TopCV,Mobile Developer,Hà Nội,"Objective-C, Swift"
Nhân Viên Thiết Kế - Lập Trình File CNC,Công ty Cổ phần Đầu tư Kenli,TopCV,Other IT Role,Hà Nội,
Kỹ Sư Phần Mềm,Công ty Cổ phần Tự động hóa và Robotics Aubot,TopCV,Software Engineer,Hà Nội,"Node.Js, C++, Go, Python, Java"
Web Developer,CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ PHÁT TRIỂN DICOM,TopCV,Web Developer,Hà Nội,"Php, Html, Javascript, Css"
Kỹ Sư Phần Mềm Ứng Dụng Desktop,Công ty Cổ phần Tập đoàn OSB,TopCV,Software Engineer,Hà Nội,"Java, Javascript"
Middle Frontend Developer,Open Reach Tech Hanoi,TopCV,Frontend Developer,Hà Nội,"Typescript, Javascript, Agile"
Nhân Viên Lập Trình Vận Hành Máy CNC - Thu Nhập Hấp Dẫn Lên Đến 15 Triệu,CÔNG TY TNHH CÔNG NGHỆ CAO MICRO ONE,TopCV,Other IT Role,Hà Nội,
Nhân Viên Lập Trình CNC,CÔNG TY TNHH SX VÀ TM CÁT THÁI,TopCV,Other IT Role,Hồ Chí Minh,Not Specified
Lập Trình Backend,Công ty cổ phần giải pháp MKT,TopCV,Backend Developer,Hà Nội,"Typescript, Node.Js, Sql"
"Team Leader, Back-End Developer",CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ PT SOLUTIONS,TopCV,Backend Developer,Hồ Chí Minh,"Golang, Html, Sql"
Fresher Fullstack Developer,CÔNG TY CỔ PHẦN SMARTOSC,TopCV,Full-stack Developer,Hà Nội,Javascript
Chuyên Viên Phát Triển Phần Mềm,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ XÂY DỰNG THÀNH ĐÔ,TopCV,Software Engineer,Hà Nội,Not Specified
Project Manager,Bravestars Games,TopCV,IT Project Manager,Hà Nội,
Lập Trình Viên PHP,CÔNG TY TNHH TRUYỀN THÔNG VÀ QUẢNG CÁO H2T,TopCV,Backend Developer,Bình Dương,"Php, Html, Javascript, Css"
Software Developer,CÔNG TY CỔ PHẦN CỘNG ĐỒNG SỐNG HẠNH PHÚC,TopCV,Software Developer,Hồ Chí Minh,"Php, Typescript, Javascript, Python"
Tư Vấn Phát Triển Phần Mềm Website,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ NINA,TopCV,Other IT Role,Hồ Chí Minh,
Unity Developer,CÔNG TY CỔ PHẦN OHZE,TopCV,Game Developer,Hà Nội,"C#, Agile"
Senior C Language Developer,Công Ty TNHH LG CNS VIỆT NAM,TopCV,Embedded Engineer,Hà Nội,C
Back End Developer,CÔNG TY TNHH ROYALMAN,TopCV,Backend Developer,Hà Nội,"Java, Aws, Sql"
Lập Trình Viên Backend,CÔNG TY CỔ PHẦN CÔNG NGHỆ FOXAI,TopCV,Backend Developer,Hà Nội,"Docker, Aws, Agile, Python"
AI Developer,CÔNG TY TNHH NERDWARE TECHNOLOGY,TopCV,AI Engineer,Hà Nội,Python
Lập Trình Viên .NET,CÔNG TY CỔ PHẦN MẮT BÃO,TopCV,Backend Developer,Hồ Chí Minh,"Sql, Html, Javascript, C#, Css"
Nhân Viên Lập Trình  C#,CÔNG TY TRÁCH NHIỆM HỮU HẠN KNK VINA,TopCV,Software Engineer,Bắc Ninh,"C#, Sql"
Nhân Viên IT,Công ty TNHH MCNEX VINA,TopCV,Other IT Role,Ninh Bình,"Java, Sql"
SAP BTP CAP Developer,FPT Software,TopCV,SAP BTP CAP Developer,Đà Nẵng,"Java, Aws, Javascript, Sql"
Coding Quality Review Team Lead,Công Ty Tài Chính TNHH HD SAISON,TopCV,Coding Quality Review Team Lead,Hồ Chí Minh,"Java, Go, Javascript, Python"
Android Developer,Công ty Cổ phần viễn thông FPT,TopCV,Mobile Developer,Hồ Chí Minh,"Objective-C, Agile, Swift, Kotlin"
Senior Rust Developer,CÔNG TY CP U2U NETWORK,TopCV,Software Engineer,Hồ Chí Minh,Rust
Fullstack Developer,CÔNG TY CỔ PHẦN HAPOSOFT,TopCV,Fullstack Developer,Hà Nội,"Sql, Javascript, Agile, Aws, Python, Html/Css, Nodejs, Php, Html, Css"
Junior Frontend Developer,Công ty TNHH Giáo Dục IZONE,TopCV,Frontend Developer,Hà Nội,"Typescript, Javascript, React, Java, Html, Css"
Lập Trình Viên PHP,CÔNG TY TNHH OPN VIỆT NAM,TopCV,Backend Developer,Hà Nội,"Sql, Javascript, Agile, Aws, Html/Css, Php, Html, Css"
Lập Trình Viên,Công ty TNHH Yusen Logistics (Việt Nam),TopCV,Software Engineer,Hà Nội,Not Specified
Blockchain Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ AN NINH MẠNG QUỐC GIA VIỆT NAM,TopCV,Blockchain Engineer,Hà Nội,"Go, Python, Rust, Solidity"
Middle Fullstack Developer,Công ty cổ phần Synodus,TopCV,Full-stack Developer,Hà Nội,"Typescript, Sql, Javascript, Html/Css, Java"
Nhân Viên Lập Trình Mobile,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,TopCV,Mobile Developer,Hà Nội,"React, Dart"
Kĩ Sư Tích Hợp - DotNet Developer,BASE BUSINESS SOLUTIONS,TopCV,DotNet Developer,Hà Nội,"Sql, Html, Javascript, Python, Html/Css, C#, Css"
Flutter Developer,Chi Nhánh Công Ty Cổ Phần Phần Mềm Quốc Tế 3S Huế Tại Đà Nẵng,TopCV,Mobile Developer,Not Specified,"Java, Agile, Dart, Swift"
Kỹ Sư Lập Trình,Công ty TNHH Phần mềm DTS Việt Nam,TopCV,Software Engineer,Hà Nội,Not Specified
Data Integration Engineer / ETL Developer,CÔNG TY CỔ PHẦN KAOPIZ HOLDINGS,TopCV,Data Integration Engineer,Hà Nội,"C#, Sql"
Project Manager JLPT N2,Công ty Cổ phần VTI,TopCV,IT Project Manager,Hà Nội,Not Specified
Middle/Senior Fullstack,Công ty Cổ Phần Rikkeisoft,TopCV,Fullstack Developer,Hà Nội,"Docker, Java, Agile, Python"
Senior PHP Fullstack,CÔNG TY CỔ PHẦN CÔNG NGHỆ TRÍ TUỆ NHÂN TẠO BMH-AI,TopCV,Full-stack Developer,Hà Nội,"Aws, Php, Javascript"
Kỹ Thuật Viên Gia Công Máy CNC,CÔNG TY TNHH FUJIKIN VIỆT NAM – CHI NHÁNH NHÀ MÁY BẮC NINH,TopCV,Other IT Role,Bắc Ninh,Not Specified
Kỹ Sư Thiết Kế Máy,Công ty Cổ phần Thiết bị và Giải pháp cơ khí Automech,TopCV,Other IT Role,Hà Nội,
